operation,ncores,nworkers,shape,runtime
unfiltered_mean,1,1,"(360, 1024, 1024)",4.957788944244385
filtered_mean,1,1,"(360, 1024, 1024)",266.21197509765625
unfiltered_mean,9,9,"(360, 1024, 1024)",0.7879691123962402
filtered_mean,9,9,"(360, 1024, 1024)",34.350651264190674
unfiltered_mean,18,18,"(360, 1024, 1024)",0.4962446689605713
filtered_mean,18,18,"(360, 1024, 1024)",19.386526346206665
unfiltered_mean,27,27,"(360, 1024, 1024)",0.607205867767334
filtered_mean,27,27,"(360, 1024, 1024)",19.66312885284424
unfiltered_mean,36,36,"(360, 1024, 1024)",0.48369312286376953
filtered_mean,36,36,"(360, 1024, 1024)",15.830913543701172
unfiltered_mean,3,1,"(360, 1024, 1024)",1.8657636642456055
filtered_mean,3,1,"(360, 1024, 1024)",97.27848529815674
unfiltered_mean,9,3,"(360, 1024, 1024)",0.8055224418640137
filtered_mean,9,3,"(360, 1024, 1024)",35.180485010147095
unfiltered_mean,18,6,"(360, 1024, 1024)",0.5739853382110596
filtered_mean,18,6,"(360, 1024, 1024)",19.841721534729004
unfiltered_mean,27,9,"(360, 1024, 1024)",0.4088611602783203
filtered_mean,27,9,"(360, 1024, 1024)",20.21887731552124
unfiltered_mean,36,12,"(360, 1024, 1024)",0.42873048782348633
filtered_mean,36,12,"(360, 1024, 1024)",16.151430130004883
unfiltered_mean,9,1,"(360, 1024, 1024)",0.7865235805511475
filtered_mean,9,1,"(360, 1024, 1024)",38.290271043777466
unfiltered_mean,9,1,"(360, 1024, 1024)",0.6963961124420166
filtered_mean,9,1,"(360, 1024, 1024)",38.14066410064697
unfiltered_mean,18,2,"(360, 1024, 1024)",0.4961671829223633
filtered_mean,18,2,"(360, 1024, 1024)",21.932509660720825
unfiltered_mean,27,3,"(360, 1024, 1024)",0.38025689125061035
filtered_mean,27,3,"(360, 1024, 1024)",20.995514392852783
unfiltered_mean,36,4,"(360, 1024, 1024)",0.36315178871154785
filtered_mean,36,4,"(360, 1024, 1024)",16.071171522140503
