operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,1,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,5.003283739089966
filtered_mean,1,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,274.03909134864807
unfiltered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.7754943370819092
filtered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,36.032485246658325
unfiltered_mean,18,18,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5011181831359863
filtered_mean,18,18,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,20.173027515411377
unfiltered_mean,27,27,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5023186206817627
filtered_mean,27,27,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,20.222078323364258
unfiltered_mean,36,36,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.4103672504425049
filtered_mean,36,36,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,16.232555627822876
unfiltered_mean,3,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,1.8875794410705566
filtered_mean,3,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,101.077073097229
unfiltered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.7962939739227295
filtered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,35.91110801696777
unfiltered_mean,18,6,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5321342945098877
filtered_mean,18,6,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,20.215707778930664
unfiltered_mean,27,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5373687744140625
filtered_mean,27,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,20.21613836288452
unfiltered_mean,36,12,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.3665790557861328
filtered_mean,36,12,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,16.353378772735596
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.8181595802307129
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,38.19087266921997
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6932854652404785
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,38.41474628448486
unfiltered_mean,18,2,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.49858641624450684
filtered_mean,18,2,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,21.16853165626526
unfiltered_mean,27,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.4206855297088623
filtered_mean,27,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,21.195548057556152
unfiltered_mean,36,4,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.3707404136657715
filtered_mean,36,4,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,16.110079765319824
