operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,1,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,4.933558225631714
filtered_mean,1,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,172.95587015151978
unfiltered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,1.154982566833496
filtered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,24.163086652755737
unfiltered_mean,18,18,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.7002129554748535
filtered_mean,18,18,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,15.432327270507812
unfiltered_mean,27,27,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6852638721466064
filtered_mean,27,27,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,13.032994270324707
unfiltered_mean,36,36,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.7679002285003662
filtered_mean,36,36,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,13.22093653678894
unfiltered_mean,3,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,1.9572193622589111
filtered_mean,3,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,73.84510946273804
unfiltered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,1.0527398586273193
filtered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,27.67858099937439
unfiltered_mean,18,6,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6277754306793213
filtered_mean,18,6,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,16.59736442565918
unfiltered_mean,27,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.623528003692627
filtered_mean,27,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,14.649357795715332
unfiltered_mean,36,12,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5625760555267334
filtered_mean,36,12,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,13.156386613845825
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9396071434020996
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,40.77820348739624
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6790359020233154
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,38.535985469818115
unfiltered_mean,18,2,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6751947402954102
filtered_mean,18,2,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,23.726553678512573
unfiltered_mean,27,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.6251382827758789
filtered_mean,27,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,20.702645778656006
unfiltered_mean,36,4,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.5498306751251221
filtered_mean,36,4,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,15.340670824050903
