operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,2,1,"(8, 1024, 1024)","(1, 1024, 1024)",67108864,float64,2.433192491531372
filtered_mean,2,1,"(8, 1024, 1024)","(1, 1024, 1024)",67108864,float64,5.353489875793457
unfiltered_mean,8,4,"(32, 1024, 1024)","(1, 1024, 1024)",268435456,float64,7.918135166168213
filtered_mean,8,4,"(32, 1024, 1024)","(1, 1024, 1024)",268435456,float64,7.065147161483765
unfiltered_mean,16,8,"(64, 1024, 1024)","(1, 1024, 1024)",536870912,float64,7.635794401168823
filtered_mean,16,8,"(64, 1024, 1024)","(1, 1024, 1024)",536870912,float64,5.955436706542969
unfiltered_mean,24,12,"(96, 1024, 1024)","(1, 1024, 1024)",805306368,float64,7.646475791931152
filtered_mean,24,12,"(96, 1024, 1024)","(1, 1024, 1024)",805306368,float64,7.313246726989746
unfiltered_mean,32,16,"(128, 1024, 1024)","(1, 1024, 1024)",1073741824,float64,7.368179559707642
filtered_mean,32,16,"(128, 1024, 1024)","(1, 1024, 1024)",1073741824,float64,5.776656627655029
unfiltered_mean,40,20,"(160, 1024, 1024)","(1, 1024, 1024)",1342177280,float64,6.868170738220215
filtered_mean,40,20,"(160, 1024, 1024)","(1, 1024, 1024)",1342177280,float64,7.369654655456543
