operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,1,1,"(40, 1024, 1024)","(10, 1024, 1024)",335544320,float64,0.6658182144165039
filtered_mean,1,1,"(40, 1024, 1024)","(10, 1024, 1024)",335544320,float64,31.714970350265503
unfiltered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.7805576324462891
filtered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,36.26783847808838
unfiltered_mean,18,18,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,1.0547921657562256
filtered_mean,18,18,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,39.88731360435486
unfiltered_mean,27,27,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,0.8880577087402344
filtered_mean,27,27,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,48.96456456184387
unfiltered_mean,36,36,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.0699269771575928
filtered_mean,36,36,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,63.402950286865234
unfiltered_mean,3,1,"(120, 1024, 1024)","(10, 1024, 1024)",1006632960,float64,0.7747924327850342
filtered_mean,3,1,"(120, 1024, 1024)","(10, 1024, 1024)",1006632960,float64,34.50810384750366
unfiltered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.8177990913391113
filtered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,36.5759801864624
unfiltered_mean,18,6,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,0.8946356773376465
filtered_mean,18,6,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,40.89966893196106
unfiltered_mean,27,9,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,0.9485950469970703
filtered_mean,27,9,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,49.04528832435608
unfiltered_mean,36,12,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.1192333698272705
filtered_mean,36,12,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,63.02346420288086
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.8044524192810059
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,38.89918851852417
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.691737174987793
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,38.39888405799866
unfiltered_mean,18,2,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,0.850548505783081
filtered_mean,18,2,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,42.755635261535645
unfiltered_mean,27,3,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,1.1447715759277344
filtered_mean,27,3,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,50.74787425994873
unfiltered_mean,36,4,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.0286552906036377
filtered_mean,36,4,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,64.38585090637207
