operation,ncores,nworkers,shape,chunks,nbytes,dtype,runtime
unfiltered_mean,1,1,"(40, 1024, 1024)","(10, 1024, 1024)",335544320,float64,0.8102614879608154
filtered_mean,1,1,"(40, 1024, 1024)","(10, 1024, 1024)",335544320,float64,21.2138249874115
unfiltered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9782819747924805
filtered_mean,9,9,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,24.32789444923401
unfiltered_mean,18,18,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,1.0435872077941895
filtered_mean,18,18,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,28.459171772003174
unfiltered_mean,27,27,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,1.3223426342010498
filtered_mean,27,27,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,35.785134077072144
unfiltered_mean,36,36,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.1411900520324707
filtered_mean,36,36,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,46.14713764190674
unfiltered_mean,3,1,"(120, 1024, 1024)","(10, 1024, 1024)",1006632960,float64,0.9330143928527832
filtered_mean,3,1,"(120, 1024, 1024)","(10, 1024, 1024)",1006632960,float64,26.195375442504883
unfiltered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9428577423095703
filtered_mean,9,3,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,27.928497314453125
unfiltered_mean,18,6,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,0.9209561347961426
filtered_mean,18,6,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,31.146665811538696
unfiltered_mean,27,9,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,1.0587565898895264
filtered_mean,27,9,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,36.668885231018066
unfiltered_mean,36,12,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.1728298664093018
filtered_mean,36,12,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,46.35982799530029
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.9607493877410889
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,41.152430057525635
unfiltered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,0.666292667388916
filtered_mean,9,1,"(360, 1024, 1024)","(10, 1024, 1024)",3019898880,float64,38.46767807006836
unfiltered_mean,18,2,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,1.047013282775879
filtered_mean,18,2,"(720, 1024, 1024)","(10, 1024, 1024)",6039797760,float64,44.02565836906433
unfiltered_mean,27,3,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,1.1070468425750732
filtered_mean,27,3,"(1080, 1024, 1024)","(10, 1024, 1024)",9059696640,float64,49.42066049575806
unfiltered_mean,36,4,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,1.5509026050567627
filtered_mean,36,4,"(1440, 1024, 1024)","(10, 1024, 1024)",12079595520,float64,54.261085987091064
